x;y
112;129
108;127
104;126
100;125
92;122
88;120
83;117
74;108
69;103
64;98
60;93
50;84
45;79
41;74
36;70
31;65
22;56
17;51
12;46
8;42
1;35
-1;32
-5;28
-8;25
-14;18
-18;14
-21;11
-26;6
-35;-2
-39;-6
-44;-11
-48;-15
-58;-20
-63;-23
-67;-25
-72;-27
-81;-33
-86;-36
-91;-39
-95;-43
-102;-49
-106;-52
-110;-54
-114;-57
-122;-61
-125;-64
-128;-67
-131;-70
-137;-77
-139;-80
-141;-84
-142;-86
-146;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-147;-86
-149;-86
-152;-86
-155;-86
-157;-90
-162;-99
-166;-103
-169;-106
-173;-110
-180;-111
-184;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
-186;-111
