x;y
-185;-111
-181;-111
-178;-111
-171;-111
-167;-111
-163;-111
-160;-111
-152;-111
-149;-111
-145;-111
-141;-111
-134;-111
-130;-111
-127;-111
-123;-111
-116;-111
-112;-111
-108;-111
-105;-111
-98;-111
-94;-111
-90;-111
-87;-111
-79;-111
-76;-111
-72;-111
-68;-111
-61;-111
-57;-111
-54;-111
-50;-111
-43;-111
-39;-111
-36;-111
-32;-111
-25;-111
-21;-111
-17;-111
-14;-111
-6;-111
-3;-111
0;-111
4;-111
11;-111
14;-111
18;-111
22;-111
29;-111
33;-111
36;-111
40;-111
47;-111
51;-111
55;-111
58;-111
65;-111
67;-111
70;-111
72;-111
78;-111
79;-111
79;-111
79;-111
79;-111
79;-111
79;-111
79;-111
79;-111
79;-111
79;-111
80;-111
87;-111
91;-111
94;-111
98;-111
105;-111
109;-111
113;-111
116;-111
124;-111
