x;y
-169;129
-169;125
-169;118
-169;118
-169;111
-169;107
-169;100
-169;96
-169;92
-169;85
-169;85
-169;78
-169;74
-169;71
-169;67
-169;60
-169;56
-169;49
-169;49
-169;42
-169;38
-169;34
-169;31
-169;23
-169;20
-169;16
-169;7
-169;2
-169;-2
-169;-7
-169;-15
-169;-19
-169;-22
-169;-25
-169;-32
-169;-32
-169;-38
-169;-40
-169;-43
-169;-48
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-50
-169;-53
-169;-55
-169;-58
-169;-63
-169;-66
-169;-69
-169;-76
-169;-76
-169;-82
-169;-86
-169;-86
-169;-86
-169;-86
-169;-86
-169;-86
-169;-88
-169;-93
-169;-96
-169;-98
-169;-103
-169;-103
-169;-108
-169;-111
-169;-113
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
-169;-117
