x;y
139;-91
139;-87
139;-84
139;-81
136;-74
135;-71
133;-68
130;-64
126;-62
122;-60
118;-57
108;-49
103;-44
99;-39
89;-30
84;-25
80;-20
75;-15
70;-11
65;-6
56;3
50;8
44;14
33;26
27;32
21;37
13;37
10;37
6;37
2;37
-5;40
-8;43
-11;47
-15;50
-18;53
-26;57
-29;57
-33;57
-41;57
-45;57
-48;58
-52;60
-59;63
-63;65
-66;66
-70;67
-78;67
-78;67
-85;67
-89;67
-93;69
-103;78
-107;83
-110;86
-114;89
-121;96
-124;100
-127;103
-129;108
-130;112
-133;117
-134;119
-136;121
-136;124
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
-136;126
