date;time;x;y;fx;fy
21/12/2022;11:29:43.580;120;-120;0;0
21/12/2022;11:29:43.642;120;-120;0;0
21/12/2022;11:29:43.705;120;-120;0;0
21/12/2022;11:29:43.767;120;-120;0;0
21/12/2022;11:29:43.830;120;-120;0;0
21/12/2022;11:29:43.892;120;-120;0;0
21/12/2022;11:29:43.955;120;-120;0;0
21/12/2022;11:29:44.017;120;-120;0;0
21/12/2022;11:29:44.080;120;-120;0;0
21/12/2022;11:29:44.142;120;-118;0;153
21/12/2022;11:29:44.205;120;-116;0;153
21/12/2022;11:29:44.267;120;-112;0;153
21/12/2022;11:29:44.330;120;-110;0;153
21/12/2022;11:29:44.392;120;-108;0;153
21/12/2022;11:29:44.455;120;-105;0;423
21/12/2022;11:29:44.517;120;-98;0;423
21/12/2022;11:29:44.580;120;-94;0;423
21/12/2022;11:29:44.642;120;-91;0;423
21/12/2022;11:29:44.705;120;-87;29;423
21/12/2022;11:29:44.767;120;-80;29;468
21/12/2022;11:29:44.830;120;-76;29;468
21/12/2022;11:29:44.892;120;-73;29;468
21/12/2022;11:29:44.955;120;-69;29;468
21/12/2022;11:29:45.017;120;-62;30;441
21/12/2022;11:29:45.080;120;-58;30;441
21/12/2022;11:29:45.142;120;-54;30;441
21/12/2022;11:29:45.205;120;-51;30;441
21/12/2022;11:29:45.267;120;-43;0;441
21/12/2022;11:29:45.330;120;-40;0;442
21/12/2022;11:29:45.392;120;-36;0;442
21/12/2022;11:29:45.455;120;-32;0;442
21/12/2022;11:29:45.518;120;-25;0;442
21/12/2022;11:29:45.580;120;-22;0;442
21/12/2022;11:29:45.643;120;-18;0;442
21/12/2022;11:29:45.705;120;-14;0;454
21/12/2022;11:29:45.768;120;-7;0;454
21/12/2022;11:29:45.830;120;-3;0;454
21/12/2022;11:29:45.892;120;0;0;454
21/12/2022;11:29:45.955;120;3;0;454
21/12/2022;11:29:46.017;120;10;0;409
21/12/2022;11:29:46.080;120;14;0;409
21/12/2022;11:29:46.143;120;18;0;409
21/12/2022;11:29:46.205;120;21;0;409
21/12/2022;11:29:46.267;120;29;0;294
21/12/2022;11:29:46.330;120;32;0;294
21/12/2022;11:29:46.392;120;36;0;294
21/12/2022;11:29:46.455;120;40;0;294
21/12/2022;11:29:46.518;120;47;0;294
21/12/2022;11:29:46.580;120;49;0;53
21/12/2022;11:29:46.643;120;49;0;53
21/12/2022;11:29:46.705;120;49;0;53
21/12/2022;11:29:46.768;120;49;0;53
21/12/2022;11:29:46.830;120;49;0;53
21/12/2022;11:29:46.893;120;49;0;155
21/12/2022;11:29:46.955;120;51;0;155
21/12/2022;11:29:47.018;120;56;0;155
21/12/2022;11:29:47.080;120;58;0;155
21/12/2022;11:29:47.143;120;60;0;155
21/12/2022;11:29:47.205;120;62;0;798
21/12/2022;11:29:47.268;120;69;0;798
21/12/2022;11:29:47.330;120;73;0;798
21/12/2022;11:29:47.392;120;77;0;798
21/12/2022;11:29:47.455;120;80;0;798
21/12/2022;11:29:47.517;120;87;0;722
21/12/2022;11:29:47.580;120;91;0;722
21/12/2022;11:29:47.643;120;95;0;722
21/12/2022;11:29:47.705;120;98;0;722
21/12/2022;11:29:47.768;120;106;0;722
21/12/2022;11:29:47.830;120;109;0;339
21/12/2022;11:29:47.893;120;113;0;339
21/12/2022;11:29:47.955;120;117;0;339
21/12/2022;11:29:48.018;120;124;0;339
21/12/2022;11:29:48.081;120;128;0;339
21/12/2022;11:29:48.143;120;129;0;0
21/12/2022;11:29:48.205;120;129;0;0
21/12/2022;11:29:48.268;120;129;0;0
21/12/2022;11:29:48.330;120;129;0;0
21/12/2022;11:29:48.393;120;129;0;0
21/12/2022;11:29:48.455;120;129;0;0
21/12/2022;11:29:48.518;120;129;0;0
21/12/2022;11:29:48.580;120;129;0;0
21/12/2022;11:29:48.643;120;129;0;0
21/12/2022;11:29:48.705;120;129;0;0
21/12/2022;11:29:48.768;120;129;0;34
