time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;0
504;120;-120;0;0
567;120;-120;0;0
630;120;-118;0;153
693;120;-116;0;153
756;120;-112;0;153
819;120;-110;0;153
882;120;-108;0;153
945;120;-105;0;423
1008;120;-98;0;423
1071;120;-94;0;423
1134;120;-91;0;423
1197;120;-87;29;423
1260;120;-80;29;468
1323;120;-76;29;468
1386;120;-73;29;468
1449;120;-69;29;468
1512;120;-62;30;441
1575;120;-58;30;441
1638;120;-54;30;441
1701;120;-51;30;441
1764;120;-43;0;441
1827;120;-40;0;442
1890;120;-36;0;442
1953;120;-32;0;442
2016;120;-25;0;442
2079;120;-22;0;442
2142;120;-18;0;442
2205;120;-14;0;454
2268;120;-7;0;454
2331;120;-3;0;454
2394;120;0;0;454
2457;120;3;0;454
2520;120;10;0;409
2583;120;14;0;409
2646;120;18;0;409
2709;120;21;0;409
2772;120;29;0;294
2835;120;32;0;294
2898;120;36;0;294
2961;120;40;0;294
3024;120;47;0;294
3087;120;49;0;53
3150;120;49;0;53
3213;120;49;0;53
3276;120;49;0;53
3339;120;49;0;53
3402;120;49;0;155
3465;120;51;0;155
3528;120;56;0;155
3591;120;58;0;155
3654;120;60;0;155
3717;120;62;0;798
3780;120;69;0;798
3843;120;73;0;798
3906;120;77;0;798
3969;120;80;0;798
4032;120;87;0;722
4095;120;91;0;722
4158;120;95;0;722
4221;120;98;0;722
4284;120;106;0;722
4347;120;109;0;339
4410;120;113;0;339
4473;120;117;0;339
4536;120;124;0;339
4599;120;128;0;339
4662;120;129;0;0
4725;120;129;0;0
4788;120;129;0;0
4851;120;129;0;0
4914;120;129;0;0
4977;120;129;0;0
5040;120;129;0;0
5103;120;129;0;0
5166;120;129;0;0
5229;120;129;0;0
5292;120;129;0;34
5355;120;129;0;34
5418;120;129;0;34
5481;120;129;0;34
5544;120;129;0;30
5607;120;129;0;30
5670;120;129;0;30
5733;120;129;0;30
5796;120;129;0;30
5859;120;129;-102;0
5922;120;129;-102;0
5985;120;129;-102;-52
6048;120;129;-102;-52
6111;120;129;-102;-52
6174;120;129;-41;-52
6237;120;129;-41;-52
6300;120;129;-41;-64
6363;120;129;-41;-64
6426;120;129;-41;-64
6489;120;129;-41;-64
6552;112;129;-420;-64
6615;108;127;-420;-112
6678;104;126;-420;-112
6741;100;125;-420;-112
6804;92;122;-520;-112
6867;88;120;-520;-112
6930;83;117;-520;-390
6993;74;108;-520;-390
7056;69;103;-520;-390
7119;64;98;-352;-390
7182;60;93;-352;-390
7245;50;84;-352;-331
7308;45;79;-352;-331
7371;41;74;-352;-331
7434;36;70;-315;-331
7497;31;65;-315;-331
7560;22;56;-315;-351
7623;17;51;-315;-351
7686;12;46;-315;-351
7749;8;42;-226;-351
7812;1;35;-226;-351
7875;-1;32;-226;-308
7938;-5;28;-226;-308
8001;-8;25;-226;-308
8064;-14;18;-240;-308
8127;-18;14;-240;-308
8190;-21;11;-240;-245
8253;-26;6;-240;-245
8316;-35;-2;-267;-245
8379;-39;-6;-267;-245
8442;-44;-11;-267;-245
8505;-48;-15;-267;-179
8568;-58;-20;-267;-179
8631;-63;-23;-267;-179
8694;-67;-25;-273;-179
8757;-72;-27;-273;-179
8820;-81;-33;-273;-229
8883;-86;-36;-273;-229
8946;-91;-39;-273;-229
9009;-95;-43;-337;-229
9072;-102;-49;-337;-229
9135;-106;-52;-337;-167
9198;-110;-54;-337;-167
9261;-114;-57;-337;-167
9324;-122;-61;-223;-167
9387;-125;-64;-223;-167
9450;-128;-67;-223;-233
9513;-131;-70;-223;-233
9576;-137;-77;-123;-233
9639;-139;-80;-123;-233
9702;-141;-84;-123;-233
9765;-142;-86;-123;-57
9828;-146;-86;-123;-57
9891;-147;-86;-57;-57
9954;-147;-86;-57;-57
10017;-147;-86;-57;-57
10080;-147;-86;-57;-61
10143;-147;-86;-57;-61
10206;-147;-86;-47;-61
10269;-147;-86;-47;-61
10332;-147;-86;-47;0
10395;-147;-86;-47;0
10458;-147;-86;-47;0
10521;-147;-86;-47;0
10584;-147;-86;-47;0
10647;-147;-86;-47;-108
10710;-147;-86;-47;-108
10773;-147;-86;-47;-108
10836;-149;-86;-188;-108
10899;-152;-86;-188;-108
10962;-155;-86;-188;-108
11025;-157;-90;-188;-255
11088;-162;-99;-188;-255
11151;-166;-103;-406;-255
11214;-169;-106;-406;-255
11277;-173;-110;-406;-255
11340;-180;-111;-406;-35
11403;-184;-111;-406;-35
11466;-186;-111;-108;-35
11529;-186;-111;-108;-35
11592;-186;-111;-108;-103
11655;-186;-111;-108;-103
11718;-186;-111;-108;-103
11781;-186;-111;0;-103
11844;-186;-111;0;-103
11907;-186;-111;0;0
11970;-186;-111;0;0
12033;-186;-111;0;0
12096;-186;-111;0;0
12159;-186;-111;0;0
12222;-186;-111;0;0
12285;-186;-111;0;0
12348;-186;-111;0;0
12411;-185;-111;292;0
12474;-181;-111;292;0
12537;-178;-111;292;0
12600;-171;-111;292;0
12663;-167;-111;292;0
12726;-163;-111;443;0
12789;-160;-111;443;0
12852;-152;-111;443;0
12915;-149;-111;443;0
12978;-145;-111;443;0
13041;-141;-111;443;0
13104;-134;-111;533;0
13167;-130;-111;533;0
13230;-127;-111;533;0
13293;-123;-111;533;0
13356;-116;-111;504;0
13419;-112;-111;504;0
13482;-108;-111;504;0
13545;-105;-111;504;0
13608;-98;-111;504;0
13671;-94;-111;469;0
13734;-90;-111;469;0
13797;-87;-111;469;0
13860;-79;-111;469;0
13923;-76;-111;469;0
13986;-72;-111;446;0
14049;-68;-111;446;0
14112;-61;-111;446;0
14175;-57;-111;446;0
14238;-54;-111;446;0
14301;-50;-111;491;0
14364;-43;-111;491;0
14427;-39;-111;491;0
14490;-36;-111;491;0
14553;-32;-111;491;0
14616;-25;-111;386;0
14679;-21;-111;386;0
14742;-17;-111;386;0
14805;-14;-111;386;0
14868;-6;-111;350;0
14931;-3;-111;350;0
14994;0;-111;350;0
15057;4;-111;350;0
15120;11;-111;350;0
15183;14;-111;350;0
15246;18;-111;350;0
15309;22;-111;333;0
15372;29;-111;333;0
15435;33;-111;333;0
15498;36;-111;333;0
15561;40;-111;333;0
15624;47;-111;288;0
15687;51;-111;288;0
15750;55;-111;288;0
15813;58;-111;288;0
15876;65;-111;187;0
15939;67;-111;187;0
16002;70;-111;187;0
16065;72;-111;187;0
16128;78;-111;187;0
16191;79;-111;0;0
16254;79;-111;0;0
16317;79;-111;0;0
16380;79;-111;0;0
16443;79;-111;0;0
16506;79;-111;63;0
16569;79;-111;63;0
16632;79;-111;63;0
16695;79;-111;63;0
16758;79;-111;63;0
16821;80;-111;676;0
16884;87;-111;676;0
16947;91;-111;676;0
17010;94;-111;676;0
17073;98;-111;676;0
17136;105;-111;657;0
17199;109;-111;657;0
17262;113;-111;657;0
17325;116;-111;657;0
17388;124;-111;657;0
17451;124;-109;0;129
17514;124;-108;0;129
17577;124;-106;0;129
17640;124;-103;0;129
17703;124;-101;0;129
17766;124;-98;0;371
17829;124;-91;0;371
17892;124;-87;0;371
17955;124;-83;0;371
18018;124;-80;0;371
18081;124;-78;0;0
18144;124;-78;0;0
18207;124;-78;0;0
18270;124;-78;0;0
18333;124;-78;0;0
18396;124;-78;0;0
18459;124;-78;0;0
18522;124;-78;0;0
18585;124;-78;0;0
18648;124;-78;0;0
18711;124;-78;0;0
18774;124;-78;0;0
18837;124;-78;0;0
18900;124;-78;0;0
18963;124;-78;-51;56
19026;124;-78;-51;56
19089;124;-78;-51;56
19152;124;-78;-51;56
19215;124;-78;-51;56
19278;124;-78;-69;146
19341;124;-76;-69;146
19404;124;-72;-69;146
19467;124;-70;-69;146
19530;124;-68;-69;146
19593;124;-66;-69;146
19656;115;-57;-423;305
19719;110;-52;-423;305
19782;105;-47;-423;305
19845;96;-38;-423;305
19908;92;-36;-780;37
19971;88;-36;-780;37
20034;84;-36;-780;37
20097;76;-36;-780;37
20160;73;-36;-780;37
20223;68;-33;-758;284
20286;63;-28;-758;284
20349;59;-24;-758;284
20412;49;-14;-758;284
20475;44;-9;-758;284
20538;36;-7;-705;77
20601;36;-7;-705;77
20664;28;-7;-705;77
20727;24;-7;-705;77
20790;21;-7;-705;77
20853;16;-4;-647;278
20916;4;6;-647;278
20979;-1;12;-647;278
21042;-6;18;-647;278
21105;-18;29;-560;0
21168;-22;29;-560;0
21231;-25;29;-560;0
21294;-29;29;-560;0
21357;-33;29;-560;0
21420;-41;29;-460;330
21483;-46;34;-460;330
21546;-50;39;-460;330
21609;-55;43;-460;330
21672;-65;53;-460;330
21735;-69;58;-460;330
21798;-73;58;-436;35
21861;-81;58;-436;35
21924;-85;58;-436;35
21987;-89;58;-436;35
22050;-92;58;-436;35
22113;-96;60;-337;201
22176;-103;67;-337;201
22239;-106;70;-337;201
22302;-110;74;-337;201
22365;-117;78;-329;47
22428;-121;78;-329;47
22491;-125;78;-329;47
22554;-129;78;-329;47
22617;-132;78;-329;47
22680;-140;79;-238;123
22743;-143;80;-238;123
22806;-147;82;-238;123
22869;-153;85;-238;123
22932;-157;87;-238;123
22995;-159;89;-129;225
23058;-161;93;-129;225
23121;-163;96;-129;225
23184;-166;102;-129;225
23247;-168;106;-129;225
23310;-169;109;-77;384
23373;-169;116;-77;384
23436;-169;120;-77;384
23499;-169;124;-77;384
23562;-169;127;-77;384
23625;-169;130;0;0
23688;-169;130;0;0
23751;-169;130;0;0
23814;-169;130;0;0
23877;-169;130;0;0
23940;-169;130;0;0
24003;-169;130;0;0
24066;-169;130;0;0
24129;-169;130;0;0
24192;-169;130;0;0
24255;-169;130;0;0
24318;-169;130;0;0
24381;-169;130;0;0
24444;-169;130;0;0
24507;-169;130;0;0
24570;-169;130;0;0
24633;-169;130;0;0
24696;-169;130;0;0
24759;-169;130;0;0
24822;-169;130;0;0
24885;-169;130;0;0
24948;-169;130;0;-57
25011;-169;130;0;-57
25074;-169;130;0;-57
25137;-169;130;0;-57
25200;-169;130;0;-57
25263;-169;129;0;-356
25326;-169;125;0;-356
25389;-169;118;0;-356
25452;-169;118;0;-356
25515;-169;111;0;-356
25578;-169;107;0;-410
25641;-169;100;0;-410
25704;-169;96;0;-410
25767;-169;92;0;-410
25830;-169;85;0;-420
25893;-169;85;0;-420
25956;-169;78;0;-420
26019;-169;74;0;-420
26082;-169;71;0;-420
26145;-169;67;0;-420
26208;-169;60;0;-420
26271;-169;56;0;-383
26334;-169;49;0;-383
26397;-169;49;0;-383
26460;-169;42;0;-383
26523;-169;38;0;-383
26586;-169;34;0;-332
26649;-169;31;0;-332
26712;-169;23;0;-332
26775;-169;20;48;-332
26838;-169;16;48;-332
26901;-169;7;48;-275
26964;-169;2;48;-275
27027;-169;-2;48;-275
27090;-169;-7;30;-275
27153;-169;-15;30;-206
27216;-169;-19;30;-206
27279;-169;-22;30;-206
27342;-169;-25;30;-206
27405;-169;-32;0;-206
27468;-169;-32;0;-206
27531;-169;-38;0;-177
27594;-169;-40;0;-177
27657;-169;-43;0;-177
27720;-169;-48;0;-177
27783;-169;-50;0;-108
27846;-169;-50;0;-108
27909;-169;-50;0;-108
27972;-169;-50;0;-108
28035;-169;-50;0;-108
28098;-169;-50;0;-31
28161;-169;-50;0;-31
28224;-169;-50;0;-31
28287;-169;-50;0;-31
28350;-169;-50;0;-31
28413;-169;-50;0;0
28476;-169;-50;0;0
28539;-169;-50;0;0
28602;-169;-50;0;0
28665;-169;-50;38;0
28728;-169;-50;38;0
28791;-169;-50;38;0
28854;-169;-50;38;0
28917;-169;-50;0;0
28980;-169;-50;0;0
29043;-169;-50;0;0
29106;-169;-50;0;0
29169;-169;-50;0;0
29232;-169;-50;0;0
29295;-169;-50;0;0
29358;-169;-50;0;0
29421;-169;-50;0;0
29484;-169;-50;0;0
29547;-169;-50;0;0
29610;-169;-50;0;0
29673;-169;-50;0;0
29736;-169;-50;0;0
29799;-169;-50;0;0
29862;-169;-50;0;0
29925;-169;-50;0;-177
29988;-169;-53;0;-177
30051;-169;-55;0;-177
30114;-169;-58;0;-177
30177;-169;-63;0;-177
30240;-169;-66;0;-209
30303;-169;-69;0;-209
30366;-169;-76;0;-209
30429;-169;-76;0;-209
30492;-169;-82;0;-209
30555;-169;-86;0;-209
30618;-169;-86;0;-109
30681;-169;-86;0;-109
30744;-169;-86;0;-109
30807;-169;-86;0;-109
30870;-169;-86;0;-109
30933;-169;-88;0;-178
30996;-169;-93;0;-178
31059;-169;-96;0;-178
31122;-169;-98;0;-178
31185;-169;-103;0;-172
31248;-169;-103;0;-172
31311;-169;-108;0;-172
31374;-169;-111;0;-172
31437;-169;-113;0;-172
31500;-169;-117;0;-46
31563;-169;-117;0;-46
31626;-169;-117;0;-46
31689;-169;-117;0;-46
31752;-169;-117;0;-46
31815;-169;-117;0;0
31878;-169;-117;0;0
31941;-169;-117;0;0
32004;-169;-117;0;0
32067;-169;-117;0;0
32130;-169;-117;0;0
32193;-169;-117;0;0
32256;-169;-117;0;0
32319;-169;-117;511;0
32382;-161;-117;511;32
32445;-158;-117;511;32
32508;-154;-117;511;32
32571;-151;-117;511;32
32634;-147;-117;511;32
32697;-143;-117;341;32
32760;-136;-117;341;106
32823;-132;-117;341;106
32886;-129;-117;341;106
32949;-125;-117;341;106
33012;-116;-117;267;106
33075;-111;-117;267;86
33138;-106;-117;267;86
33201;-97;-117;267;86
33264;-93;-117;168;86
33327;-91;-117;168;86
33390;-89;-116;168;162
33453;-84;-111;168;162
33516;-82;-109;168;162
33579;-80;-107;148;162
33642;-78;-105;148;162
33705;-74;-103;148;33
33768;-72;-103;148;33
33831;-70;-103;148;33
33894;-68;-103;33;33
33957;-68;-103;33;33
34020;-68;-103;33;123
34083;-68;-100;33;123
34146;-68;-98;33;123
34209;-67;-95;119;123
34272;-65;-93;119;0
34335;-64;-93;119;0
34398;-62;-93;119;0
34461;-61;-93;119;0
34524;-59;-93;27;0
34587;-59;-93;27;41
34650;-59;-93;27;41
34713;-59;-93;27;41
34776;-59;-93;0;41
34839;-59;-93;0;41
34902;-59;-93;0;41
34965;-59;-93;0;0
35028;-59;-93;0;0
35091;-59;-93;0;0
35154;-59;-93;0;0
35217;-59;-93;0;0
35280;-59;-93;0;0
35343;-59;-93;0;0
35406;-59;-93;0;0
35469;-57;-93;382;0
35532;-50;-93;382;75
35595;-46;-93;382;75
35658;-42;-93;382;75
35721;-39;-93;382;75
35784;-31;-93;552;75
35847;-28;-93;552;73
35910;-20;-93;552;73
35973;-20;-93;552;73
36036;-13;-93;514;73
36099;-9;-93;514;73
36162;-2;-93;514;65
36225;1;-93;514;65
36288;1;-93;514;65
36351;8;-93;441;65
36414;12;-93;441;65
36477;19;-93;441;59
36540;23;-93;441;59
36603;26;-93;441;59
36666;30;-93;459;59
36729;37;-93;459;54
36792;41;-93;459;54
36855;44;-93;459;54
36918;48;-93;459;54
36981;52;-93;421;54
37044;59;-93;421;54
37107;63;-93;421;42
37170;66;-93;421;42
37233;70;-93;421;42
37296;77;-93;381;42
37359;81;-93;381;42
37422;84;-93;381;0
37485;92;-93;381;0
37548;95;-93;381;0
37611;99;-93;320;0
37674;103;-93;320;0
37737;106;-93;320;0
37800;113;-93;320;0
37863;117;-93;320;0
37926;121;-93;204;0
37989;127;-93;204;0
38052;127;-93;204;0
38115;134;-93;204;0
38178;137;-93;204;0
38241;139;-93;104;0
38304;139;-93;104;0
38367;139;-93;104;0
38430;139;-93;104;0
38493;139;-93;38;0
38556;139;-93;38;0
38619;139;-93;38;31
38682;139;-93;38;31
38745;139;-93;38;31
38808;139;-93;38;31
