x;y
-151;127
-151;124
-151;122
-151;119
-151;117
-151;111
-151;108
-151;104
-151;101
-151;93
-150;89
-148;85
-145;77
-143;72
-141;68
-139;64
-137;61
-133;55
-131;52
-128;49
-127;44
-127;40
-127;37
-127;34
-127;30
-127;23
-127;18
-127;13
-127;4
-127;0
-127;-4
-127;-6
-127;-9
-127;-9
-127;-12
-127;-13
-127;-17
-127;-24
-127;-28
-127;-31
-127;-35
-127;-38
-127;-40
-127;-42
-127;-45
-127;-45
-127;-54
-127;-59
-127;-64
-127;-73
-127;-76
-127;-77
-127;-81
-127;-83
-127;-84
-127;-86
-127;-89
-127;-95
-127;-99
-127;-105
-127;-105
-127;-107
-127;-107
-127;-107
-127;-107
-127;-107
-127;-111
-127;-113
-127;-116
-127;-121
-127;-123
-127;-123
-127;-123
-127;-123
-127;-123
-127;-123
-127;-123
-127;-123
-127;-123
-127;-123
