x;y
-125;-123
-122;-123
-118;-123
-114;-123
-107;-123
-103;-123
-100;-123
-96;-123
-89;-123
-85;-123
-82;-123
-78;-123
-71;-123
-67;-123
-63;-123
-60;-123
-53;-123
-49;-123
-45;-123
-42;-123
-38;-123
-31;-123
-27;-123
-23;-123
-16;-123
-12;-123
-9;-123
-5;-123
1;-123
5;-123
8;-123
12;-123
19;-123
19;-123
27;-123
34;-123
38;-123
38;-123
45;-123
49;-123
56;-123
56;-123
63;-123
67;-123
74;-123
78;-123
82;-123
85;-122
93;-119
97;-118
101;-116
109;-113
112;-113
116;-113
119;-113
123;-113
123;-113
123;-112
123;-110
123;-109
