x;y
123;-104
123;-103
123;-100
123;-97
123;-94
123;-91
120;-85
119;-81
115;-74
113;-70
111;-67
106;-62
102;-57
97;-52
87;-43
82;-38
78;-34
70;-34
66;-34
63;-34
59;-34
55;-34
45;-25
41;-20
31;-10
26;-6
22;-5
18;-5
15;-5
11;-5
3;-5
0;-2
-10;7
-15;12
-20;16
-24;20
-31;22
-31;22
-39;22
-42;22
-46;22
-50;29
-52;33
-55;38
-59;46
-59;49
-59;49
-59;49
-59;49
-59;49
-59;49
-59;50
-59;54
-59;61
-59;64
-59;68
-59;72
-59;72
-59;72
-59;72
-59;72
-59;72
-59;72
-59;72
-59;72
-65;72
-69;72
-73;72
-77;72
-81;72
-88;72
-92;72
-100;72
-104;72
-107;72
-111;72
-118;76
-118;76
-124;83
-127;86
-127;89
-127;92
-127;99
-127;103
-127;107
-127;114
-127;118
-127;121
-127;125
-127;130
-127;130
-127;130
-127;130
-127;130
-127;130
